apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count,y
,5,0,0,0,0,2,-5.15,lae__ansible-role-netbox__ceaeab700e4c0f852d9878ad9cc5ac107ca9f09c__tasks_generate_secret_key.yml,13,0,0,0,5,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,13,0,0,0,3,0,3,1,0,0,,,,,,,,,,0,1,59,0,0,3,3,1,5,3,1,,0
,14,0,0,0,0,2,-5.33,cloudalchemy__ansible-grafana__cec0fa351fa4a5428284e60506c1ca4333791446__tasks_datasources.yml,29,0,0,0,14,0,1,0,0,0,0,1,0.33,5,0,0,0,0,0,0,0,0,0,0,0,,25,0,1,1,2,0,2,0.67,1,0.33,,,,,,,,,,0,0,96,0,0,2,2,1,11,3,1,,0
,5,0,0,14,0.23,2,-5.81,gc3-uzh-ch__elasticluster__6607f57dd8d99313de8bf8889169da7fc94f045b__elasticluster_share_playbooks_roles_iptables_tasks_main.yml,62,0,0,2,12,1,0,0,0,0,0,3,0.33,0,0,0,0,0,0,0,0,1,0,0,0,,37,0,0,1,5,0,10,1,0,0,,,,,,,,,,0,0,127,2,0.25,8,6,0.75,8,10,1,,0
,6,0,0,6,0.02,3,-7.03,ceph__ceph-ansible__fbd5a85f5406011560cfee5b012b3da88a9e8efe__roles_ceph-facts_tasks_facts.yml,245,0,0,2,102,3,57,0,0,0,0,6,0.14,14,0,0,5,0,0,0,2,0,0,0,0,,182,0,25,4,5,0,43,1,0,0,,,,,,,,,,0,0,840,1,0.03,40,39,0.97,47,43,1,,0
,12,0,0,0,0,2,-5.72,CentOS-PaaS-SIG__linchpin__eb00b2bb051ae836021b9bc4fff7fb4e95710df5__linchpin_provision_roles_openstack_tasks_provision_os_server.yml,168,0,0,0,111,0,15,0,0,0,0,1,0.06,69,0,0,0,0,0,0,0,0,0,0,0,,161,0,6,7,4,0,15,0.79,4,0.21,,,,,,,,,,0,0,722,0,0,15,13,0.87,47,15,0.79,,0
,6,0,0,2,0.05,2,-5.79,DataDog__ansible-datadog__af94c80114cb0c2bc05ab3032869992f81b2949f__tasks_pkg-redhat.yml,38,0,0,0,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38,0,3,0,5,0,8,0.89,1,0.11,,,,,,,,,,0,0,131,0,0,6,6,1,5,9,1,,0
,7,0,0,1,0.01,3,-6.43,nuriel77__iri-playbook__40b1ab0b61f2815835343df624a6040519f4baf9__roles_monitoring_tasks_grafana.yml,81,0,0,1,19,0,3,0,0,0,0,3,0.23,0,0,0,0,0,0,0,0,0,0,0,0,,66,0,3,3,6,0,13,1,0,0,,,,,,,,,,0,0,225,0,0,11,11,1,7,13,1,,0
95,13,0,0,0,0,3,-6.06,ansible__molecule__75f90644323c36671a5232ca3090166bb47fcc36__molecule_provisioner_ansible_playbooks_docker_create.yml,85,0,0,0,59,0,7,0,0,0,0,8,0.57,32,0,0,0,0,0,0,0,0,0,0,0,0,80,0,4,7,6,0,8,0.67,4,0.33,1,0,0,1,1,0,4,0,0,0,0,384,0,0,7,7,1,41,12,1,0,0
,7,0,0,0,0,2,-4.83,gantsign__ansible-role-visual-studio-code__26e0373578cf353e6674b0bbe718885e21df5b9d__tasks_install-yum.yml,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,19,0,0,0,2,0,5,0.83,1,0.17,,,,,,,,,,0,0,56,0,0,3,3,1,0,6,1,,0
20,,0,0,0,0,2,-4.7,StackStorm__ansible-st2__3b5a565842f786ea45d1caadc7969f81e4414728__stackstorm.yml,18,,,,6,,8,0,0,,,,,0,,,0,,,,,,,,,0,7,0,6,,,0,1,1,0,0,1,0,0,1,1,0,0,13,0,0,,51,,,,,,,1,1,0,0
,5,0,0,0,0,2,-5.6,roots__trellis__cbdfdc6f4ce86dbfa7020c1f6c5499df5f8e2ef4__roles_deploy_hooks_finalize-after.yml,30,0,0,0,13,4,1,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,30,0,4,0,3,0,6,1,0,0,,,,,,,,,,0,1,136,0,0,6,6,1,3,6,1,,0
,6,0,0,3,0.11,2,-5.99,geerlingguy__drupal-vm__bf4a99d23ca4f20f109ea0ccb179275d9347c0ba__provisioning_tasks_www.yml,28,0,0,0,7,0,3,0,0,0,0,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,,26,0,0,2,4,0,5,1,0,0,,,,,,,,,,0,0,100,0,0,5,5,1,5,5,1,,0
,6,0,0,12,0.1,1,-6.48,ceph__ceph-ansible__962d1ad17f243c40739222fb1b5567239c1d9913__roles_ceph-radosgw_tasks_install_debian.yml,118,0,0,0,36,6,9,0,0,0,0,8,0.31,0,0,0,0,2,0,0,0,0,0,0,0,,60,1,8,8,6,0,18,1,0,0,,,,,,,,,,0,0,357,0,0,18,18,1,7,18,1,,0
,5,0,0,4,0.06,2,-6.17,iiab__iiab__babfd7563abceb239d73a263f752dcda1486329a__roles_network_tasks_restart.yml,62,0,0,0,29,1,9,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,62,0,12,0,3,0,18,0.75,6,0.25,,,,,,,,,,0,3,252,0,0,14,14,1,6,18,0.75,,0
,5,0,0,1,0.02,2,-5.15,iiab__iiab__4edcec80d550f570b367ebd28961ac40db881d65__roles_8-mgmt-tools_tasks_main.yml,53,0,0,0,14,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,53,0,5,0,3,0,20,1,0,0,,,,,,,,,,0,0,124,0,0,11,11,1,0,20,1,,0
,8,0,0,31,0.21,2,-6.83,iiab__iiab__0c4aef57ad86c8ff023111284a3cf170caaa0164__roles_nextcloud_tasks_main.yml,145,0,0,0,88,0,3,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,1,0,,120,0,22,2,11,0,18,0.45,22,0.55,,,,,,,,,,0,0,589,1,0.05,19,18,0.95,22,40,1,,0
,7,0,0,10,0.2,2,-5.65,openfun__arnold__730bdb62c0c3a1fea1ab90915a656e3ccd30c2c7__tasks_create_app_htpasswd.yml,49,0,0,0,15,1,1,0,0,0,0,4,0.33,10,0,0,0,1,0,0,0,0,0,1,0,,39,1,1,4,7,0,7,0.88,1,0.12,,,,,,,,,,0,1,172,1,0.12,8,7,0.88,11,8,1,,0
,5,0,0,0,0,2,-6.19,iiab__iiab__d8a57c15a11563073770213ebdea53ec2606d528__roles_vnstat_tasks_main.yml,34,0,0,0,7,0,1,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,,24,0,0,2,5,0,6,1,0,0,,,,,,,,,,0,2,133,0,0,6,6,1,8,6,1,,0
,10,0,0,0,0,2,-5.49,CentOS-PaaS-SIG__linchpin__9b0b73880f649b31de94ba01c55f8f965c54113e__linchpin_provision_roles_openstack_tasks_provision_os_volume.yml,56,0,0,0,37,0,7,0,0,0,0,2,0.25,8,0,0,0,0,0,0,0,0,0,0,0,,46,0,5,2,3,0,6,1,0,0,,,,,,,,,,0,1,230,0,0,6,6,1,17,6,1,,0
,10,0,0,0,0,3,-5.61,ceph__ceph-ansible__c70d97ffe22a3ea9e9bb91487e9d4623a799d003__roles_ceph-mds_tasks_create_mds_filesystems.yml,67,0,0,2,30,5,9,0,0,0,0,3,0.33,16,0,0,0,0,0,0,0,0,0,0,0,,59,0,1,4,2,0,13,1,0,0,,,,,,,,,,0,0,381,0,0,8,8,1,16,13,1,,0
,12,0,0,0,0,2,-4.49,geerlingguy__drupal-vm__d00eebecd3d130028729afbeefda59c40db6e3b6__provisioning_tasks_cron.yml,12,0,0,0,9,0,0,0,0,0,0,1,0.5,7,0,0,0,0,0,0,0,0,0,0,0,,12,0,0,1,1,0,1,0.5,1,0.5,,,,,,,,,,0,0,61,0,0,1,1,1,9,2,1,,0
,9,0,0,0,0,2,-6.22,zzet__ansible-rbenv-role__aeacfa6fc88d74e57f7d146faba150d4cbd72a74__tasks_user_install.yml,137,0,0,0,63,0,13,0,0,0,0,13,0.46,9,0,0,0,13,0,0,0,0,0,0,0,,104,1,3,13,7,0,12,0.8,3,0.2,,,,,,,,,,0,5,494,0,0,15,13,0.87,25,13,0.87,,0
,8,0,0,1,0.03,2,-5.32,dev-sec__ansible-os-hardening__df13320c73528e55998207307055891e48cd523f__tasks_minimize_access.yml,30,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,23,0,1,1,2,0,3,1,0,0,,,,,,,,,,0,0,95,1,0.25,4,3,0.75,7,3,1,,0
,4,0,0,3,0.14,2,-5.61,geerlingguy__drupal-vm__1a39996fb2f9c6e54e78f6522647eb684484eee7__provisioning_tasks_www.yml,22,0,0,0,5,0,2,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,1,3,0,5,1,0,0,,,,,,,,,,0,0,80,0,0,5,5,1,3,5,1,,0
,2,0,0,0,0,1,-4.25,elastic__ansible-elasticsearch__0fd1f34852dfe74ee96c7cf7f53f5661fc277c24__tasks_main.yml,15,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,,15,0,1,0,3,0,2,1,0,0,,,,,,,,,,0,0,35,8,0.8,10,2,0.2,1,2,1,,0
,8,0,0,2,0.06,2,-5.91,ansiblebit__oracle-java__89c9af35f10731639b98113027c326c3866c1e1b__tasks_redhat_main.yml,34,0,0,0,16,0,3,1,1,0,0,4,0.5,0,0,0,0,0,0,0,0,1,0,0,0,,29,0,7,1,4,0,4,1,0,0,,,,,,,,,,0,1,124,0,0,4,4,1,8,4,1,,0
