,atss_count,bloc_count,cloc_count,dpt_count,etp_count,loc_count,nbeh_count,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nfl_count,nfmd_count,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count,nnwv_count,nsh_count,ntkn_count,ntnn_count,nts_count,ntun_count,ntvr_count,nun_count,clusters
3748,32.0,0,0,3,-5.63,32,0.0,1.0,13,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0,0.0,0.0,2,0,0.0,98,1.0,1.0,0.0,14.0,2.0,0
3749,16.0,0,0,3,-5.04,33,0.0,0.0,14,0.0,0,0,0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,1.0,0.0,2,0,0.0,102,0.0,2.0,2.0,10.0,2.0,0
3750,7.0,0,0,2,-5.72,74,0.0,0.0,9,0.0,5,0,0,0.0,0.0,2.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0,2.0,1.0,10,0,0.0,219,0.0,10.0,10.0,5.0,10.0,1
3751,13.0,0,0,2,-5.82,64,0.0,0.0,12,0.0,2,0,0,0.0,0.0,2.0,3,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0,2.0,3.0,6,0,0.0,154,0.0,5.0,5.0,7.0,6.0,4
3752,11.0,0,1,2,-5.79,33,0.0,0.0,10,0.0,0,0,0,0.0,0.0,3.0,8,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,3.0,2.0,1,2,0.0,173,0.0,3.0,3.0,3.0,3.0,4
3753,4.0,0,0,2,-5.11,11,0.0,0.0,6,0.0,4,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,2,0.0,2.0,3,0,2.0,50,0.0,3.0,3.0,4.0,3.0,0
3754,2.0,0,0,1,-4.0,4,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,2.0,1,0,0.0,16,1.0,2.0,1.0,2.0,1.0,0
3755,4.0,0,0,2,-5.61,33,0.0,0.0,13,0.0,4,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,2.0,5.0,7,0,0.0,108,0.0,7.0,3.0,7.0,3.0,0
3756,12.0,0,0,2,-5.05,25,0.0,0.0,7,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0.0,2.0,4,0,0.0,75,0.0,2.0,2.0,7.0,4.0,0
3757,3.0,0,0,2,-4.77,14,0.0,0.0,5,0.0,2,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0.0,3.0,4,0,0.0,47,0.0,4.0,2.0,2.0,2.0,0
3758,7.0,3,0,2,-6.25,67,0.0,0.0,18,0.0,4,0,0,0.0,0.0,3.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0,3,3.0,5.0,9,1,0.0,214,0.0,9.0,9.0,11.0,10.0,1
3759,13.0,0,0,3,-5.75,184,0.0,1.0,12,0.0,4,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,0,0,6.0,4.0,55,5,0.0,448,0.0,14.0,12.0,16.0,30.0,5
3760,7.0,1,0,2,-6.9,111,0.0,0.0,38,1.0,5,0,0,0.0,0.0,2.0,11,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,0,12,2.0,11.0,17,1,2.0,409,0.0,15.0,15.0,19.0,16.0,1
3761,16.0,0,0,3,-5.69,48,0.0,0.0,7,1.0,0,1,1,0.0,0.0,2.0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38,0,0,2.0,3.0,4,0,0.0,106,0.0,3.0,3.0,10.0,4.0,0
3762,8.0,0,0,1,-5.16,31,0.0,0.0,3,0.0,0,0,0,0.0,0.0,2.0,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,0,0,2.0,2.0,4,0,0.0,105,0.0,4.0,4.0,3.0,4.0,0
3763,5.0,0,0,2,-6.59,390,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,328,0,0,0.0,4.0,109,0,0.0,1307,0.0,76.0,74.0,48.0,74.0,2
3764,22.0,0,0,3,-5.17,43,0.0,1.0,25,0.0,16,0,0,0.0,0.0,2.0,3,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34,0,8,1.0,1.0,2,0,0.0,139,0.0,2.0,2.0,16.0,2.0,0
3765,9.0,0,0,2,-4.55,9,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,1.0,1,0,0.0,26,0.0,1.0,1.0,0.0,1.0,0
3766,13.0,0,0,3,-4.36,13,0.0,1.0,2,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,2,0,0.0,35,1.0,1.0,0.0,2.0,2.0,0
3767,6.0,1,0,2,-6.21,61,0.0,0.0,25,0.0,4,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,6,1.0,5.0,9,1,0.0,212,0.0,10.0,10.0,13.0,10.0,1
3768,5.0,0,0,2,-5.63,48,0.0,0.0,19,4.0,3,1,4,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44,0,0,4.0,5.0,8,0,0.0,163,1.0,9.0,8.0,9.0,8.0,4
3769,6.0,0,0,2,-6.22,132,0.0,0.0,56,0.0,18,0,0,0.0,0.0,3.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,0,9,2.0,9.0,19,0,1.0,456,4.0,21.0,17.0,10.0,17.0,5
3770,6.0,0,0,2,-5.15,23,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0.0,3.0,4,0,0.0,53,0.0,4.0,4.0,2.0,4.0,0
3771,5.0,0,0,1,-4.17,5,0.0,0.0,2,1.0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.0,1.0,1,0,0.0,18,0.0,1.0,1.0,1.0,1.0,0
3772,6.0,0,0,2,-5.1,32,0.0,0.0,8,0.0,2,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30,0,2,0.0,3.0,6,1,0.0,84,0.0,5.0,5.0,3.0,7.0,0
3773,2.0,0,0,2,-4.59,8,0.0,0.0,3,1.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8,0,0,0.0,3.0,1,0,0.0,28,3.0,4.0,1.0,1.0,1.0,0
3774,6.0,0,0,2,-5.13,17,0.0,0.0,5,0.0,2,0,0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,0.0,3.0,4,0,0.0,51,0.0,3.0,3.0,5.0,4.0,0
3775,3.0,0,0,2,-4.78,9,0.0,0.0,7,0.0,10,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,0,9,0.0,2.0,1,0,0.0,58,2.0,3.0,1.0,0.0,1.0,0
3776,10.0,0,0,3,-6.06,106,0.0,0.0,13,0.0,0,0,0,0.0,0.0,0.0,12,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,0,0.0,3.0,11,6,0.0,355,0.0,11.0,9.0,2.0,9.0,1
