apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count
,3.0,0,0.0,0,0.0,1,-3.78,nodiscc_srv01_roles_EXAMPLE_tasks_main.yml,11,0.0,0.0,0.0,5,0.0,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,11,0,2,0.0,1.0,0,0,0.0,0,0.0,,,,,,,,,,0,0.0,32,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,
,30.0,0,0.0,0,0.0,2,-5.8,ReSearchITEng_kubeadm-playbook_roles_tools_tasks_reset_drain.yml,30,0.0,0.0,1.0,6,0.0,2,0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26,0,2,2.0,0.0,0,4,1.0,0,0.0,,,,,,,,,,0,0.0,110,1.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,
,1.0,0,0.0,0,0.0,1,-2.25,epiphany-platform_epiphany_core_core_src_ansible_roles_docker_tasks_main.yml,2,0.0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,2,0,0,0.0,1.0,0,0,0.0,0,0.0,,,,,,,,,,0,0.0,6,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,
,5.0,0,0.0,0,0.0,2,-3.88,wazuh_wazuh-ansible_roles_elastic-stack_ansible-elasticsearch_tasks_RMRedHat.yml,5,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,0,0.0,1.0,0,2,1.0,0,0.0,,,,,,,,,,0,0.0,16,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,
,1.0,0,0.0,0,0.0,1,-2.95,openstack_kolla-ansible_ansible_roles_manila_tasks_upgrade.yml,4,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,4,0,0,0.0,2.0,0,1,1.0,0,0.0,,,,,,,,,,0,0.0,9,2.0,0.67,3.0,1.0,0.33,0.0,1.0,1.0,
,4.0,0,0.0,0,0.0,2,-3.45,freyproject_frey_roles_prometheus_1.3.6_tasks_set-role-variables.yml,4,0.0,0.0,0.0,1,0.0,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,1,0.0,1.0,0,1,1.0,0,0.0,,,,,,,,,,0,0.0,16,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
,4.0,0,0.0,0,0.0,2,-5.73,redhat-cop_agnosticd_ansible_roles_ocp-workload-rhte-mw-bfield-migration_tasks_remove_workload.yml,38,0.0,0.0,0.0,19,2.0,6,0,0,0.0,0.0,3.0,0.25,1,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32,0,0,3.0,4.0,0,5,0.56,4,0.44,,,,,,,,,,0,3.0,157,0.0,0.0,9.0,7.0,0.78,9.0,7.0,0.78,
,4.0,0,0.0,0,0.0,2,-6.23,Cloudbox_Cloudbox_roles_cloudplow_tasks_main.yml,70,0.0,0.0,0.0,13,0.0,2,0,0,0.0,0.0,1.0,0.06,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,69,0,3,1.0,7.0,0,17,1.0,0,0.0,,,,,,,,,,0,0.0,188,0.0,0.0,16.0,16.0,1.0,5.0,17.0,1.0,
,8.0,0,0.0,0,0.0,2,-6.25,redhat-openstack_ansible-nfv_roles_tuning_cpu_pinning_huge_pages_tasks_main.yml,34,0.0,0.0,0.0,7,1.0,0,0,0,0.0,0.0,1.0,0.2,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,33,0,0,1.0,4.0,0,4,1.0,0,0.0,,,,,,,,,,0,1.0,103,0.0,0.0,4.0,4.0,1.0,8.0,4.0,1.0,
,7.0,0,0.0,0,0.0,2,-5.65,openfun_arnold_tasks_create_app_htpasswd.yml,53,0.0,0.0,0.0,15,1.0,1,0,0,0.0,0.0,4.0,0.33,10,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,39,1,1,4.0,7.0,0,7,0.88,1,0.12,,,,,,,,,,0,1.0,172,1.0,0.12,8.0,7.0,0.88,11.0,8.0,1.0,
,14.0,0,0.0,0,0.0,4,-6.64,openshift_openshift-ansible_roles_openshift_aws_tasks_provision_ec2_facts.yml,84,0.0,0.0,2.0,29,0.0,10,0,0,0.0,0.0,2.0,0.33,22,2.0,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62,0,5,0.0,4.0,0,10,0.91,1,0.09,,,,,,,,,,0,0.0,316,2.0,0.33,6.0,4.0,0.67,20.0,11.0,1.0,
,7.0,0,0.0,0,0.0,2,-6.39,gjmzj_kubeasz_roles_os-harden_tasks_sysctl.yml,66,0.0,0.0,0.0,25,1.0,13,0,0,0.0,0.0,2.0,0.18,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,60,0,11,2.0,6.0,0,10,0.83,2,0.17,,,,,,,,,,0,0.0,234,0.0,0.0,9.0,9.0,1.0,5.0,10.0,0.83,
,7.0,0,0.0,0,0.0,2,-5.36,debops_debops_ansible_roles_debops.environment_tasks_main.yml,21,0.0,0.0,0.0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21,1,0,0.0,3.0,0,3,1.0,0,0.0,,,,,,,,,,0,0.0,75,0.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,
,103.0,0,0.0,0,0.0,3,-5.97,ansible_ansible_test_integration_targets_ec2_key_tasks_main.yml,103,1.0,1.0,1.0,30,0.0,0,0,0,0.0,0.0,2.0,1.0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,73,0,0,0.0,0.0,0,16,0.89,2,0.11,,,,,,,,,,0,0.0,317,1.0,1.0,1.0,0.0,0.0,9.0,16.0,0.89,
,10.0,0,0.0,0,0.0,2,-6.38,edx_configuration_playbooks_roles_edx_django_service_tasks_main.yml,241,0.0,0.0,0.0,83,11.0,12,1,8,0.0,0.0,5.0,0.17,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,180,0,9,5.0,5.0,0,24,0.92,2,0.08,,,,,,,,,,0,0.0,658,0.0,0.0,24.0,24.0,1.0,25.0,26.0,1.0,
