apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count,y
,6,0,0,12,0.1,1,-6.48,ceph__ceph-ansible__abd96a22b0f75fd3cb6e9563a9f6cf3744f55544__roles_ceph-radosgw_tasks_install_debian.yml,118,0,0,0,36,6,9,0,0,0,0,8,0.31,0,0,0,0,2,0,0,0,0,0,0,0,,60,1,8,8,7,0,18,1,0,0,,,,,,,,,,0,0,357,0,0,18,18,1,7,18,1,,1
,10,0,0,2,0.05,2,-5.37,anthcourtney__ansible-role-cis-amazon-linux__3779b2ae4ca261d75589b690c0a6213817fa5872__tasks_level-1_1.5.1.yml,38,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,0,4,0,4,0,5,1,0,0,,,,,,,,,,0,0,101,0,0,4,2,0.5,2,3,0.6,,1
,4,0,0,2,0.08,2,-5.51,nusenu__ansible-relayor__95a0ffb87f5a5ecbf178ee4a5b4f890acaba6cbe__tasks_rpm_install.yml,26,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,0,0,0,5,0,5,1,0,0,,,,,,,,,,0,0,87,1,0.17,6,5,0.83,3,5,1,,1
,4,0,0,56,1.04,2,-5.94,openfun__arnold__fc2ce3392a275489da28c61412cca74afe4d81f5__tasks_set_vars.yml,54,0,0,0,21,0,3,0,0,0,0,4,0.24,15,0,0,0,0,0,0,0,0,0,0,3,,51,1,0,4,3,0,13,1,0,0,,,,,,,,,,0,0,229,0,0,13,13,1,13,13,1,,1
,5,0,0,0,0,2,-5.6,roots__trellis__f55d2260b2f2bce34d4e89e1512fc6f1f2a7567f__roles_deploy_hooks_finalize-after.yml,30,0,0,0,12,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,0,4,0,3,0,6,1,0,0,,,,,,,,,,0,1,128,0,0,6,6,1,2,6,1,,1
,12,0,0,0,0,3,-5.87,dev-sec__ansible-os-hardening__68ead9d1b0cf2d9ff24ef7169ffbb244fe18f99c__tasks_limits.yml,35,0,0,1,2,0,1,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,,35,0,1,0,2,0,5,1,0,0,,,,,,,,,,0,0,115,1,0.33,3,2,0.67,0,5,1,,1
,9,0,0,0,0,3,-5.45,CentOS-PaaS-SIG__linchpin__daa9016fdedf7cb2e88bd940ae4e2a2e3b96659c__linchpin_provision_roles_aws_tasks_provision_aws_ec2.yml,50,0,0,0,33,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,50,0,3,0,2,0,6,0.86,1,0.14,,,,,,,,,,0,0,226,0,0,6,6,1,18,7,1,,1
,4,0,0,2,0.07,2,-5.4,geerlingguy__ansible-role-java__b0ea7df8df80dc58546bcac365734e3cc82045aa__tasks_main.yml,28,0,0,0,13,0,9,0,0,0,0,3,0.27,1,0,0,0,0,0,0,0,3,0,0,3,,28,0,2,0,4,0,5,1,0,0,,,,,,,,,,0,0,99,3,0.38,8,5,0.62,5,5,1,,1
,6,0,0,7,0.16,2,-5.82,sensu__sensu-ansible__45f0f4f49458ec15e4810a4ec241a19f8ac22eac__tasks_CentOS_rabbit.yml,45,0,0,0,6,1,0,1,1,0,0,2,0.22,0,0,0,0,0,0,0,0,0,0,0,1,,39,0,0,2,5,0,11,1,0,0,,,,,,,,,,1,0,112,1,0.14,7,6,0.86,4,11,1,,1
,9,0,0,0,0,2,-3.87,rhevm-qe-automation__ovirt-ansible__38df5bec196f7333affc22dd872638888a56d1e9__roles_ovirt-guest-agent_tasks_main.yml,9,0,0,0,5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,7,0,0,1,1,0,0,0,2,1,,,,,,,,,,0,0,26,0,0,1,1,1,2,2,1,,1
,12,0,0,12,0.5,3,-5.54,ansible-community__ara__0f8d2066591bf2e140e7a9d90bc68d8a17233812__roles_ara_api_tasks_wsgi_server_gunicorn.yaml,24,0,0,1,1,0,0,0,0,0,0,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,,23,0,0,0,1,0,5,1,0,0,,,,,,,,,,0,0,67,1,0.5,2,1,0.5,2,5,1,,1
,7,0,0,2,0.03,2,-5.82,StackStorm__ansible-st2__2ebb20a41ca78d4290e0c80ec64a08c673f703c1__roles_st2_tasks_main.yml,63,0,0,0,12,0,6,0,0,0,0,2,0.18,0,0,0,2,0,0,0,0,4,0,0,0,,55,0,1,2,3,0,12,0.86,2,0.14,,,,,,,,,,0,0,191,0,0,9,9,1,7,12,0.86,,1
,4,0,0,23,0.13,2,-6.93,iiab__iiab-admin-console__ee7d3b3bc9f03b7310d9a630a94286bd03c3da76__roles_cmdsrv_tasks_main.yml,175,0,0,0,36,0,9,0,0,0,0,9,0.23,0,0,0,0,0,0,0,0,0,0,0,0,,103,0,8,9,9,0,29,1,0,0,,,,,,,,,,0,4,456,1,0.03,30,23,0.77,13,23,0.79,,1
,5,0,0,14,0.24,2,-5.66,gc3-uzh-ch__elasticluster__c9a6d08dc4ac4d1b909f0fe059a12472b06e2f0b__elasticluster_share_playbooks_roles_iptables_tasks_main.yml,58,0,0,2,11,0,0,0,0,0,0,3,0.38,0,0,0,0,0,0,0,0,1,0,0,0,,34,0,0,1,4,0,9,1,0,0,,,,,,,,,,0,0,114,2,0.29,7,5,0.71,8,9,1,,1
,5,0,0,12,0.8,2,-5.14,ansible-community__ara__0f8d2066591bf2e140e7a9d90bc68d8a17233812__roles_ara_api_tasks_install_source.yaml,15,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,15,0,0,0,3,0,3,0.75,1,0.25,,,,,,,,,,0,0,64,0,0,3,3,1,6,4,1,,1
,6,0,0,10,0.12,2,-6.43,elastic__ansible-elasticsearch__c0238edb380629b6df9a71714efae5964d93b571__tasks_xpack_security_elasticsearch-security-file.yml,82,0,0,0,40,3,3,0,0,0,0,3,0.18,7,0,0,0,0,0,0,0,0,0,0,0,,79,0,2,3,7,0,14,1,0,0,,,,,,,,,,0,1,318,0,0,14,14,1,17,14,1,,1
