,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncmd_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nsh_count,ntnn_count,ntun_count_relative,nun_count_relative,clusters
73,9.0,0,0.0,0,0.0,3,-6.17,67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.22,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,2.0,3.0,0.8,1,0.2,0.0,2.0,0.71,1.0,5
74,8.0,0,0.0,0,0.0,2,-5.83,51,0.0,0.0,0.0,2.0,1,2,0.0,0.0,0.4,6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,4.0,3.0,1.0,0,0.0,0.0,0.0,1.0,1.0,4
75,1.0,0,0.0,0,0.0,1,-4.46,22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0.0,0.0,0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0,0,0.0,2.0,1.0,0,0.0,0.0,16.0,0.06,1.0,0
76,4.0,0,0.0,0,0.0,2,-3.73,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
77,9.0,0,0.0,0,0.0,2,-4.81,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
79,5.0,0,0.0,0,0.0,2,-5.18,27,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0,0.75,2,0.25,0.0,0.0,1.0,1.0,4
80,3.0,0,0.0,0,0.0,2,-5.54,31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,0.11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.0,1.0,0,0.0,0.0,4.0,0.33,0.6,4
81,5.0,0,0.0,0,0.0,2,-3.25,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1
82,8.0,0,0.0,0,0.0,2,-6.08,82,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,0.0,0.0,1.0,1.0,5
83,3.0,0,0.0,0,0.0,1,-5.84,37,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,8.0,1.0,0,0.0,0.0,0.0,1.0,1.0,4
