,atss_count,bloc_count_relative,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count_relative,nsh_count,ntkn_count,ntnn_count_relative,nts_count,ntun_count_relative,ntvr_count,nun_count_relative,clusters
1261,6.0,0.0,0.0,2,-4.25,6,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,1.0,1.0,0.0,1.0,24,0.0,1.0,1.0,4.0,1.0,1
1263,1.0,0.0,0.0,1,-1.0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,0.0,1
1264,11.0,0.0,0.0,3,-5.05,33,0.0,0.0,18,0.0,2,0,0,0.0,0.0,0.67,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,0,3,0.0,1.0,0.5,0.5,0.0,104,0.33,3.0,0.67,9.0,1.0,0
1265,8.0,0.0,0.0,4,-6.2,123,0.0,0.0,19,0.0,0,0,0,0.0,0.0,0.0,9,0.12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,0,0,0.0,4.0,1.0,0.0,0.0,361,0.0,16.0,0.56,7.0,0.59,2
1266,8.0,0.0,0.0,3,-6.3,89,0.0,0.0,32,0.0,8,0,0,0.0,0.0,0.15,9,0.0,0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,63,0,0,2.0,6.0,1.0,0.0,0.0,249,0.55,11.0,0.45,48.0,1.0,2
1267,12.0,0.0,0.0,2,-5.47,36,0.0,0.0,15,0.0,4,0,0,0.0,0.0,0.25,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27,0,1,1.0,3.0,0.0,1.0,0.0,93,0.0,3.0,1.0,11.0,1.0,0
1268,4.0,0.0,0.0,2,-3.32,4,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,1.0,1.0,0.0,0.0,10,0.0,1.0,1.0,2.0,1.0,1
1269,3.0,0.0,0.0,2,-3.32,3,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,1.0,1.0,0.0,0.0,10,0.0,1.0,1.0,0.0,1.0,1
1270,12.0,0.0,0.0,3,-5.73,62,1.0,2.0,9,0.0,1,1,1,0.0,0.0,0.62,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60,0,0,1.0,3.0,1.0,0.0,0.0,274,0.0,5.0,1.0,6.0,0.73,2
1271,13.0,0.0,0.0,3,-4.54,13,0.0,1.0,2,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,1.0,0.0,0.0,35,1.0,1.0,0.0,2.0,1.0,1
